date,position_count,gross_market_value,net_market_value,gross_exposure,net_exposure,cash_proxy,turnover,turnover_rate,missing_price_count,forward_filled_price_count,fill_price_fallback_count
2025-08-01 00:00:00,1,320117.0,-320117.0,0.3165704721125467,-0.3165704721125467,1331319.9649,320117.0,0.3165704721125467,1,0,1
2025-08-04 00:00:00,2,649544.0,9310.0,0.6399384365241937,0.009172322189166929,1005700.1368000001,329427.0,0.32455537935668033,2,0,2
2025-08-05 00:00:00,4,1348468.0,-689614.0,1.31967860471388,-0.6748909438793932,1711429.4596000002,698924.0,0.684002178116977,4,0,4
2025-08-06 00:00:00,5,1347481.0,-29291.0,1.3120477764758616,-0.028520766838830723,1056297.0467,658043.0,0.640739168103673,5,0,5
2025-08-07 00:00:00,4,1018054.0,-358718.0,0.9896474383183349,-0.34870876179326094,1387421.7187,347760.0,0.3380565207244254,4,0,4
2025-08-08 00:00:00,5,1358629.0,-18143.0,1.3193037912893089,-0.01761785497391998,1047950.5462,340575.0,0.3307171337564238,5,0,5
2025-08-11 00:00:00,4,1361668.0,-680518.0,1.2995863351551153,-0.6494915747649859,1728288.3275000001,670729.0,0.6401488784287032,4,0,4
2025-08-12 00:00:00,6,2017449.0,-24737.0,1.9386215588070383,-0.023770455411864046,1065398.5932,655781.0,0.6301577806705589,6,0,6
2025-08-13 00:00:00,5,1676874.0,-365312.0,1.6159167923344604,-0.3520322905843173,1403034.9867,345355.0,0.33280076130744923,5,0,5
2025-08-14 00:00:00,6,2007144.0,-35042.0,1.9330391918276895,-0.03374823099888493,1073377.9057,330270.0,0.31807625854693583,6,0,6
2025-08-15 00:00:00,4,1351363.0,-690823.0,1.2643253406463713,-0.6463289469974746,1759664.1887,642390.0,0.6010153863749581,4,0,4
2025-08-18 00:00:00,5,1677685.0,-364501.0,1.5569828169603368,-0.3382767288047874,1442024.1310999999,1020192.0,0.9467935959374971,5,0,5
2025-08-19 00:00:00,6,2023989.0,-18197.0,1.8937709606585071,-0.01702625368571808,1086958.2399,346304.0,0.3240237267889715,6,0,6
2025-08-20 00:00:00,6,2023989.0,-18197.0,1.9780599514506843,-0.017784067470993224,1041416.2398999999,0.0,0.0,6,0,6
2025-08-21 00:00:00,3,1021093.0,-1021093.0,0.9962949634088721,-0.9962949634088721,2045983.2558999998,963280.0,0.9398859970174102,3,0,3
2025-08-22 00:00:00,6,2040254.0,-1932.0,1.9532475496786579,-0.0018496100318779755,1046476.5075999999,1019161.0,0.9756989698233899,6,0,6
2025-08-25 00:00:00,5,1678022.0,-364164.0,1.5172689063767593,-0.3292773956609545,1470112.9804,398424.0,0.3602553165299704,5,0,5
2025-08-26 00:00:00,5,1681415.0,-360771.0,1.5100011262762094,-0.3239917666535592,1474290.037,686478.0,0.6164941749442223,5,0,5
2025-08-27 00:00:00,5,1684815.0,-357371.0,1.5573422256181282,-0.33033237982293373,1439223.7696,667558.0,0.6170506918855698,5,0,5
2025-08-28 00:00:00,5,1680891.0,-361295.0,1.555389590924018,-0.33431940694125506,1441983.086,645612.0,0.597408270123189,5,0,5
2025-08-29 00:00:00,5,1679137.0,-363049.0,1.5398475638755698,-0.3329329996405664,1453505.6395999999,661488.0,0.606615592017163,5,0,5
2025-09-01 00:00:00,6,2005486.0,-36700.0,1.778373897717246,-0.03254389312427159,1164407.7349,326349.0,0.2893914707687441,6,0,6
2025-09-02 00:00:00,5,1675666.0,-366520.0,1.5100263954049633,-0.33028949351710135,1476213.1848999998,358500.0,0.32306227061519377,5,0,5
2025-09-03 00:00:00,5,1666312.0,-375874.0,1.5020223649836812,-0.3388147924373564,1485252.9538999998,660770.0,0.595621539129687,5,0,5
2025-09-04 00:00:00,5,1676293.0,-365893.0,1.502854449009808,-0.3280356852361405,1481299.0868,649557.0,0.5823502378972315,5,0,5
2025-09-05 00:00:00,6,2004313.0,-37873.0,1.804809890769641,-0.0341032388619535,1148412.6808,328020.0,0.29536990498502863,6,0,6
2025-09-08 00:00:00,5,1685443.0,-356743.0,1.496587758900828,-0.31676966048306476,1482933.5558,303750.0,0.26971456867193166,5,0,5
2025-09-09 00:00:00,5,1678663.0,-363523.0,1.4993548307325655,-0.3246929050872,1483113.2167999998,691130.0,0.6173062158183018,5,0,5
2025-09-10 00:00:00,5,1669903.0,-372283.0,1.4853589836956946,-0.33114132888388387,1496525.0306,653954.0,0.5816843546144502,5,0,5
2025-09-11 00:00:00,6,1998420.0,-43766.0,1.7322817950060474,-0.0379374931396977,1197400.4755,328517.0,0.28476697513535776,6,0,6
2025-09-12 00:00:00,5,1668870.0,-373316.0,1.4150029267477875,-0.31652749021899673,1552726.9881,334958.0,0.2840044762849026,5,0,5
2025-09-15 00:00:00,5,1672410.0,-369776.0,1.411521158306283,-0.31209251788369125,1554604.1480999999,662800.0,0.5594060210865782,5,0,5
2025-09-16 00:00:00,5,1671793.0,-370393.0,1.419501516669893,-0.31449672612812213,1548125.4507,675658.0,0.5736939655508467,5,0,5
2025-09-17 00:00:00,6,1994893.0,-47293.0,1.6803563095850937,-0.039836267383367346,1234477.5206999998,323100.0,0.27215651347061914,6,0,6
2025-09-18 00:00:00,5,1672093.0,-370093.0,1.4268131421643486,-0.3158039392683483,1542000.4843,336788.0,0.28738446038781734,5,0,5
2025-09-19 00:00:00,5,1653585.0,-388601.0,1.404280953243852,-0.33001326373395634,1566132.4592,613417.0,0.5209347021749616,5,0,5
2025-09-22 00:00:00,5,1657560.0,-384626.0,1.4369932022166862,-0.33344491143355004,1538117.8867,658575.0,0.5709402966709224,5,0,5
2025-09-23 00:00:00,5,1675978.0,-366208.0,1.4502301865982625,-0.31688118589490827,1521871.4356999998,618170.0,0.5349048701411642,5,0,5
2025-09-24 00:00:00,6,2001578.0,-40608.0,1.7580992626229919,-0.03566830513554528,1179097.7556999999,325600.0,0.28599291154781187,6,0,6
2025-09-25 00:00:00,5,1674503.0,-367683.0,1.48916794358224,-0.3269876118467084,1492138.4431999999,324375.0,0.28847296881491946,5,0,5
2025-09-26 00:00:00,4,1344850.0,-697336.0,1.2063415640039596,-0.6255161548695135,1812152.9308999998,955041.0,0.8566796695749754,4,0,4
2025-09-29 00:00:00,6,2008882.0,-33304.0,1.7556202266371372,-0.029105331237933945,1177561.7212999999,664032.0,0.5803168181776289,6,0,6
2025-09-30 00:00:00,6,2008882.0,-33304.0,1.7419632054736272,-0.028878920013765706,1186532.7212999999,0.0,0.0,6,0,6
